#,Job_ID,WeatherFile,ModelFile,@@EP9_IHG@@,@@EP10_VRate@@,@@EP11_Inf@@,@@EP12_C_SP@@,@@EP14_Gla@@,@@EP15_Rat@@,@@EP16_RA@@,@@P1@@,@@P2@@,@@P3@@,@@P4@@,@@P5@@,@@P6@@,@@P7@@,@@P8@@,@@P9@@,@@P10@@,Message,Warnings,Errors,Hours,Minutes,Seconds,c0: A1_Ele_Cool_[kWh],c1: A2_Ele_Fan_[kWh],c2: A3_Ele_Pumps_[kWh],c3: A4_Ele_Heat Rejection_[kWh],c4: A5_Ele_Plant[kWh],c5: A6_Ele_CoolEnTransfer[kWh],c6: A7_Ele_CoolCoil[kWh],c7: A8_Cool_Chiller[kWh],c8: A9_HRej[kWh],c9: P1_Ele_Cool_[W],c10: P2_Ele_Fan_[W],c11: P3_Ele_Pumps_[W],c12: P4_Ele_Heat Rejection_[W],c13: P5_Ele_Plant[W],c14: P6_Ele_CoolEnTransfer[W],c15: P7_Ele_CoolCoil[W],c16: P8_Cool_Chiller[W],c17: P9_HRej[W],c18: O1_Floor Area[m2],c19: O2_Time_PlantLoop,c20: O3_Time_SensLoads,c21: O4_Time_EleUse
0,Case1,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,48.889,0.0015556,0.00012,23.556,0.4,1,0.1,1,1,12,7.6667,27,5.2222,1.2222,0.26667,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,11.54,5985.19,499.96,1981.47,62.72,8029.38,11925.24,12075.19,12847.9,32862.5,2178.4,57.07,504.08,94.74,2777.22,11022.32,12252.14,12423.45,14601.85,160,0,0,0
1,Case2,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,48.889,0.0015556,0.00012,23.556,0.4,1,0.1,1,1,12,7.6667,27,3.2778,1.2222,0.26667,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,12.43,9535.65,499.96,2088.06,70.98,11694.69,11925.24,12075.19,12847.9,36412.93,3470.63,57.07,531.2,103.17,4105,11022.32,12252.14,12423.45,15894.08,160,0,0,0
2,Case3,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,48.889,0.0015556,0.00012,23.556,0.4,1,0.1,1,1,12,7.6667,27,3.2778,1,0.26667,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,12.4,7910.18,499.96,1708.55,62.5,9681.24,11925.24,12075.19,12705.57,30517.28,3350.35,57.07,434.72,100.04,3885.11,11022.32,12252.14,12384.89,15735.23,160,0,0,0
3,Case4,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,48.889,0.0068333,0.00012,23.556,0.4,1,0.1,1,1,12,7.6667,27,3.2778,1,0.26667,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,8.95,1970.31,1015.08,1165.84,25.37,3161.53,2414.6,2115.81,2275.8,7515.5,4709.41,115.88,811.75,111.33,5632.49,15733.22,15847.38,16103.99,20813.4,160,0,0,0
4,Case5,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,48.889,0.0068333,0.00012,23.556,0.4,1,0.1,1,1,12,7.6667,27,3.2778,1,0.1,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,8.78,1590.68,1015.08,1165.7,6.5,2762.88,2414.6,2115.81,2275.8,4428.35,4709.41,115.88,811.75,111.33,5632.49,15733.22,15847.38,16103.99,20813.4,160,0,0,0
5,Case6,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,48.889,0.0068333,0.00012,23.556,0.4,1,0.1,1,1,12,5.4444,27,3.2778,1,0.1,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,8.91,1631.43,1015.08,1165.69,6.66,2803.79,2414.59,2118.02,2278.05,4407.9,5028.64,115.88,811.76,138.49,5978.9,15733.48,16081.69,16314.64,21343.28,160,0,0,0
6,Case7,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,48.889,0.0068333,0.00012,28,0.4,1,0.1,1,1,12,5.4444,27,3.2778,1,0.1,1.1,50,EnergyPlus Completed Successfully,1,7,0,0,7.99,110.72,1015.08,762.09,0.8,873.61,572.66,176.06,186.49,316.91,2521.37,115.88,413.24,56.89,2991.49,7897.73,8013.83,8129.34,10650.72,160,0,0,0
7,Case8,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,48.889,0.0068333,0.00012,28,0.4,1,5.6,1,1,12,5.4444,27,3.2778,1,0.1,1.1,50,EnergyPlus Completed Successfully,1,7,0,0,8.09,2644.18,52016.45,37973.61,19.72,40637.55,22320.91,3663.43,3914.49,7437.31,99677.79,5937.95,16766.78,2211.22,118655.8,307455.52,313420.52,317657.42,417335.22,8960,0,0,0
8,Case9,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,10,0.0068333,0.00012,28,0.4,1,5.6,1,1,12,5.4444,27,3.2778,1,0.1,1.1,50,EnergyPlus Completed Successfully,11,6,0,0,7.66,0,65900.75,70735.7,0,70735.76,12729.3,0,0,0,0,7522.92,11202.55,0,11202.55,47607.81,0,0,0,8960,0,0,0
9,Case10,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,17.778,0.0089444,0.00012,25.333,0.4,1,7.8,1,1,12,5.8889,27,6,1.0444,0.33333,1.1,50,EnergyPlus Completed Successfully,1,7,0,0,7.96,2133.08,117455.65,124880.23,70.66,127084.07,28885.91,4285.93,4567.93,13702.71,89566.92,13408.18,28611.76,3037.72,121216.41,482497.61,495926.66,503858.09,593425.01,12480,0,0,0
