#,Job_ID,WeatherFile,ModelFile,@@EP9_IHG@@,@@EP10_VRate@@,@@EP11_Inf@@,@@EP12_C_SP@@,@@EP14_Gla@@,@@EP15_Rat@@,@@EP16_RA@@,@@P1@@,@@P2@@,@@P3@@,@@P4@@,@@P5@@,@@P6@@,@@P7@@,@@P8@@,@@P9@@,@@P10@@,Message,Warnings,Errors,Hours,Minutes,Seconds,c0: A1_Ele_Cool_[kWh],c1: A2_Ele_Fan_[kWh],c2: A3_Ele_Pumps_[kWh],c3: A4_Ele_Heat Rejection_[kWh],c4: A5_Ele_Plant[kWh],c5: A6_Ele_CoolEnTransfer[kWh],c6: A7_Ele_CoolCoil[kWh],c7: A8_Cool_Chiller[kWh],c8: A9_HRej[kWh],c9: P1_Ele_Cool_[W],c10: P2_Ele_Fan_[W],c11: P3_Ele_Pumps_[W],c12: P4_Ele_Heat Rejection_[W],c13: P5_Ele_Plant[W],c14: P6_Ele_CoolEnTransfer[W],c15: P7_Ele_CoolCoil[W],c16: P8_Cool_Chiller[W],c17: P9_HRej[W],c18: O1_Floor Area[m2],c19: O2_Time_PlantLoop,c20: O3_Time_SensLoads,c21: O4_Time_EleUse
0,1,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,31.54792307,0.00574683,0.00012,24.85785181,0.4,1,2.404007175,1,1,12,8.727621455,27,5.270970073,1.091941441,0.326422499,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,7.02,4244.05,20435.07,17909.02,114.97,22268.05,13211.53,7271.92,7773.49,25851.23,36492.68,2332.77,10751.89,1166.29,48410.87,184198.51,186492.93,189968.94,226461.62,3846.41,0,0,0
1,2,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,55.76739641,0.007265113,0.00012,23.1760833,0.4,1,6.340901341,1,1,12,6.537042003,27,4.220848477,1.175215674,0.304604061,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,7.51,139124.8,61004.96,77496.13,2352.98,218974.1,163940.21,147995.69,161699.43,659793.33,248385.84,6964.04,58955.14,7927.9,315268.88,969407.87,977165.74,996064.76,1244494.19,10145.44,0,0,0
2,3,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,31.03457534,0.006920774,0.00012,21.09013213,0.4,1,9.79750419,1,1,12,5.589228001,27,4.961700567,1.273101343,0.290257371,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,9.21,194548.65,103411.88,149770.85,3380.74,347700.52,231379.62,215799.3,238675.66,1000335.99,356461.47,11805.01,97150.07,12516.52,466128.06,1408319.76,1586265.9,1617021.74,1973483.21,15676.01,0,0,0
3,4,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,40.85764065,0.003440777,0.00012,21.83116704,0.4,1,2.933291867,1,1,12,7.760331381,27,4.93783856,1.120771677,0.133259994,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,10.29,78993.92,17340.12,34352.8,264.62,113611.43,142238.87,142114.59,153913.4,309133.48,68774.73,1979.47,16634.25,2780.28,88189.26,314944.69,353625.9,358994.82,427769.54,4693.27,0,0,0
4,5,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,77.26258298,0.004522291,0.00012,21.1002758,0.4,1,8.490596864,1,1,12,8.17388494,27,5.499078705,1.086439669,0.102794522,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,12.57,753070.88,95998.98,323738.71,3054.21,1079864.66,1864335.34,1905594.44,2031297.86,3129967.21,295006.69,10958.79,74002.42,13424.57,382433.68,1572405.18,1746200.69,1771106.01,2066112.7,13584.95,0,0,0
5,6,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,62.42185144,0.008547635,0.00012,23.29042919,0.4,1,8.081484869,1,1,12,6.826770816,27,4.620040284,1.110527673,0.267627181,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,9.11,150102.51,92893.72,111028.91,2400.78,263532.41,220657.93,195405.64,212604.74,730898.58,318978.03,10604.31,80218.98,9136.31,408333.32,1399990.05,1410584.52,1437525.85,1756503.88,12930.38,0,0,0
6,7,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,45.00507141,0.001809762,0.00012,20.09281811,0.4,1,8.141283985,1,1,12,8.335636759,27,4.359011451,1.309751623,0.192554645,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,12.44,979805.82,59466.61,309481.03,2851.5,1292139.39,1786592.29,1842370.21,1961029.5,4119099.14,204247.3,6788.43,44838.53,7474.51,256560.35,834279.74,928984.81,944547.55,1148794.85,13026.06,0,0,0
7,8,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,26.22849042,0.005211335,0.00012,20.09058727,0.4,1,5.343454494,1,1,12,8.341588731,27,5.754396732,1.19470857,0.196617278,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,8.53,101076.34,47606.46,75758.37,1029.44,177864.29,166481.69,163682.62,179865.89,521916.94,136010.53,5434.53,42260.21,5923.13,184193.87,674313.41,771825.72,785578.49,921589.03,8549.53,0,0,0
8,9,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,67.78568008,0.002009152,0.00012,26.13755932,0.4,1,4.849308855,1,1,12,5.511591092,27,5.922525533,1.144380342,0.172194499,1.1,50,EnergyPlus Completed Successfully,7,6,0,0,13.1,248504.43,17155.39,103044.67,1110.56,352659.94,653491.7,662755.2,703389.07,1222832.83,88501.46,1958.38,21351.62,4075.31,113928.39,480768.56,533679.34,540829.38,629330.84,7758.89,0,0,0
9,10,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,42.23229482,0.003490543,0.00012,23.56610471,0.4,1,4.64511898,1,1,12,6.330548091,27,2.65300328,1.161777739,0.146429775,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,8.6,118552.75,19033.86,31865.15,390.46,150808.49,110136.26,106573.36,115834.87,304468.23,181619.5,2172.81,25469.99,4343.72,211433.21,423762.88,480558.16,487816.93,669436.42,7432.19,0,0,0
